,gender,race,age,education,church_goer,patriotism,health_insurance,discuss_politics,political_interest,ideology,pid3,pid7,voted,votechoice,obama_muslim,climate_change,cc_caused_by_man,same_sex_wedding,econ_health,birthright_citizenship,build_wall,affirmative_action,corrupt_government,bathroom_policy,gay_marriage,death_penalty,rel_important,rel_daily_guidance,rel_bible_word,rel_attend_church,happy_life
2158,1,1,29,12,1,4,2,1,2,1,3,4,1,1,2,1,1,2,3,2,2,1,2,2,1,2,2,-1,3,-1,3
2159,1,1,29,9,2,4,2,1,1,2,3,4,1,4,2,1,1,1,3,2,2,3,2,2,1,2,2,-1,3,-1,5
2160,1,1,49,13,1,1,1,1,2,6,3,5,1,2,1,1,2,1,4,1,1,2,2,1,1,1,1,2,2,-1,3
2161,2,1,25,13,1,2,1,1,2,4,3,5,1,2,2,1,3,1,5,2,2,2,2,1,2,2,1,3,1,-1,1
2162,1,1,36,10,2,4,2,1,2,4,3,5,-2,-2,2,2,3,1,4,3,1,3,2,1,2,1,2,-1,2,-1,5
2163,2,1,35,14,2,6,1,1,2,1,3,3,1,1,2,1,1,2,4,2,2,1,4,2,1,2,2,-1,3,-1,3
2164,1,1,52,9,1,1,1,1,2,6,2,6,0,-2,2,1,2,1,4,3,3,2,3,2,1,1,1,1,2,-1,3
2165,1,1,36,10,1,-6,1,-6,-6,5,2,6,-2,-2,-6,1,3,1,5,1,3,2,3,1,2,1,1,3,2,-1,3
2166,2,1,53,90,2,2,1,2,2,99,2,7,1,2,1,2,2,1,5,2,1,2,2,1,3,1,1,3,2,-1,5
2167,2,1,32,14,1,2,2,1,3,2,3,3,1,1,2,1,1,1,3,2,2,3,4,2,2,2,1,3,1,2,2
2168,2,5,22,9,1,1,1,1,2,99,3,4,0,-2,2,2,2,1,3,3,3,3,3,1,2,1,1,2,3,-1,3
2169,1,1,35,12,1,4,1,1,1,2,1,2,1,1,2,1,1,2,4,2,2,3,2,2,1,1,2,-1,2,-1,2
2170,1,6,64,11,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,3,2,1,2,2,-1,2,-1,2
2171,2,1,66,9,2,2,1,1,2,99,1,2,1,1,2,1,1,2,3,2,2,1,2,2,1,1,2,-1,3,-1,2
2172,1,1,58,13,1,2,1,1,2,5,2,6,1,2,1,1,3,1,3,1,2,3,3,1,2,2,1,3,2,2,2
2173,2,1,31,13,2,1,1,2,4,3,1,1,1,1,1,1,1,2,2,2,2,1,3,2,1,2,2,-1,3,-1,1
2174,2,2,65,9,1,4,1,1,2,99,1,1,1,1,2,1,3,1,2,2,3,1,4,1,3,1,1,1,1,1,3
2175,2,1,72,16,1,4,1,1,3,4,3,4,0,-2,2,1,3,1,4,2,3,3,4,2,1,2,1,1,3,-1,4
2176,2,1,51,14,1,1,1,1,2,2,1,1,1,1,2,1,3,1,3,3,2,3,2,2,1,1,2,-1,3,-1,2
2177,2,1,45,10,1,4,1,1,2,2,1,1,1,1,2,1,1,2,3,3,3,3,4,2,1,2,1,1,2,-1,3
2178,1,1,51,12,1,2,1,1,1,4,1,1,1,1,2,1,3,2,2,1,3,2,4,2,1,1,2,-1,2,-1,3
2179,1,1,30,13,1,1,1,1,2,6,2,7,0,-2,1,2,2,1,2,3,3,2,4,1,3,1,1,3,1,2,2
2180,1,1,61,14,1,1,1,1,2,6,2,7,1,2,2,1,3,1,3,1,2,2,4,1,2,1,1,3,1,1,2
2181,2,6,66,14,1,-6,1,-6,-6,6,2,6,-2,-2,-6,1,3,1,4,3,1,3,3,2,2,1,1,2,2,-1,-5
2182,1,1,42,13,1,4,1,1,2,2,3,3,1,4,2,1,1,1,3,1,2,2,4,-9,1,2,1,2,3,-1,2
2183,2,1,28,13,1,1,1,1,2,7,2,7,1,2,1,2,2,1,2,1,1,2,3,1,3,1,1,3,1,1,1
